"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3743","RT @pukicho: I am racist towards French people. retweet to kill the Eiffel tower",FALSE,0,NA,2022-11-25 22:04:13,FALSE,NA,"1596263513952899072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swagmasta42069x",8013,TRUE,FALSE,NA,NA
"3744","@LEGO_Group Great scale, isn't it?  ☺️ You look taller than me.  😅 It feels like you can really taste the construct… https://t.co/5VgeFBykgo",FALSE,0,"LEGO_Group",2022-11-25 22:03:47,TRUE,"1596156981525581825","1596263403810848768","295325513","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fiat500italy",0,FALSE,FALSE,NA,NA
"3745","@mike27356894 @BeratStuff Thanks Mike, I can now tell the difference between a transmission tower and the Eiffel tower",FALSE,8,"mike27356894",2022-11-25 22:03:45,FALSE,"1596262910128521218","1596263397934374913","1506487787914248192","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MattLeRigolo",0,FALSE,FALSE,NA,NA
"3746","@mike27356894 @BeratStuff thanks mike for telling us this! i thought it was the eiffel tower at first",FALSE,280,"mike27356894",2022-11-25 22:02:32,FALSE,"1596262910128521218","1596263089514872832","1506487787914248192","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MonkeyTimed",0,FALSE,FALSE,NA,NA
"3747","RT @mike27356894: @BeratStuff Is this guy serious? That's not the Eiffel Tower, that's just a Transmission tower. They're used to carry pow…",FALSE,0,NA,2022-11-25 22:02:22,FALSE,NA,"1596263048095801344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AstolfoTwt",30,TRUE,FALSE,NA,NA
"3748","Only one image gives me the greatest dose of nostalgic trauma whenever I come across it, it is the Eiffel Tower 🗼.",FALSE,1,NA,2022-11-25 22:02:17,FALSE,NA,"1596263025429778432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HisRoyalOG",1,FALSE,FALSE,NA,NA
"3749","Not to be dramatic but I want the Eiffel  tower burned into my eyes 🫶🏻",FALSE,5,NA,2022-11-25 22:02:07,FALSE,NA,"1596262985789370368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashley_dontcare",0,FALSE,FALSE,NA,NA
"3750","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:01:56,FALSE,NA,"1596262940885352449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MateoVanhorn",1745,TRUE,FALSE,NA,NA
"3751","@BeratStuff Is this guy serious? That's not the Eiffel Tower, that's just a Transmission tower. They're used to car… https://t.co/EAWQ5lylOa",FALSE,1078,"BeratStuff",2022-11-25 22:01:49,TRUE,"1596258723777118208","1596262910128521218","1387719861380554752","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mike27356894",30,FALSE,FALSE,NA,NA
"3752","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:01:48,FALSE,NA,"1596262905552711680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bernandes_",1745,TRUE,FALSE,NA,NA
